                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.49056,                0.65802,                0.42595,                0.95027,                0.62645,                0.47408,                0.52425,                0.37845,                0.65042,                0.48042,                0.52879,                 0.3309,                 1.2598,                  1.884,                 1.6744,                 1.3207,             0.00024307,             0.00024307,             0.00024307
                     77,                0.47829,                0.67294,                0.42297,                0.93736,                0.66126,                0.49403,                0.54184,                0.39153,                0.67823,                 0.4952,                0.53449,                0.32829,                  1.229,                 1.8586,                 1.6317,                 1.2871,             0.00023407,             0.00023407,             0.00023407
                     78,                0.47645,                0.68377,                0.41796,                0.94172,                0.66178,                0.48493,                0.54762,                0.38723,                0.67341,                0.49118,                0.53494,                0.32794,                 1.2895,                 1.8487,                 1.7762,                 1.3428,             0.00022507,             0.00022507,             0.00022507
                     79,                0.49012,                0.69922,                0.43046,                0.94582,                0.62492,                0.51672,                0.55488,                0.38904,                0.61099,                0.51703,                0.54527,                0.32835,                 1.2768,                 1.9452,                 2.0855,                 1.4018,             0.00021607,             0.00021607,             0.00021607
                     80,                0.47707,                0.65711,                0.41503,                0.93738,                0.57549,                 0.5407,                0.56731,                0.39467,                0.57002,                 0.5335,                0.55412,                0.34249,                 1.2687,                 2.0578,                 2.0096,                 1.3744,             0.00020707,             0.00020707,             0.00020707
                     81,                 0.4567,                0.65976,                0.40464,                0.93852,                0.59636,                 0.5355,                0.58673,                0.40691,                0.58589,                0.52539,                0.56589,                0.34771,                 1.2772,                 1.9961,                 1.8327,                 1.3571,             0.00019807,             0.00019807,             0.00019807
                     82,                0.46967,                0.66156,                0.40203,                0.93064,                0.59771,                0.59207,                0.58523,                0.41455,                0.59382,                0.58102,                 0.5704,                0.34849,                 1.2664,                    1.9,                 1.7414,                 1.3329,             0.00018907,             0.00018907,             0.00018907
                     83,                0.46339,                0.65734,                0.40658,                0.93634,                0.68715,                0.48291,                0.57558,                0.41099,                0.69547,                0.48653,                0.55651,                0.34616,                 1.2753,                 1.8937,                  1.755,                 1.3471,             0.00018007,             0.00018007,             0.00018007
                     84,                0.46214,                 0.6497,                0.40193,                0.93001,                0.57004,                 0.5181,                0.54975,                0.38753,                0.58401,                0.51898,                0.53588,                0.32806,                 1.2776,                 1.9331,                 1.7273,                 1.3845,             0.00017107,             0.00017107,             0.00017107
                     85,                0.45882,                 0.6448,                0.39362,                0.92386,                0.73164,                0.40582,                0.54429,                0.38569,                0.54839,                0.48629,                 0.5319,                0.32535,                 1.2562,                 1.9736,                 1.7387,                 1.3945,             0.00016207,             0.00016207,             0.00016207
                     86,                0.45923,                0.64835,                0.39654,                 0.9362,                0.57262,                0.49764,                0.54918,                0.38679,                 0.6452,                0.44679,                0.52852,                0.32572,                 1.2301,                 1.9588,                 1.7115,                 1.3661,             0.00015308,             0.00015308,             0.00015308
                     87,                0.46019,                0.66036,                0.39864,                0.93023,                0.81135,                 0.4342,                0.54195,                0.38423,                0.80692,                0.43186,                0.53387,                0.32827,                 1.1987,                  1.919,                 1.6922,                 1.3317,             0.00014408,             0.00014408,             0.00014408
                     88,                0.45378,                0.63303,                0.39474,                0.93053,                0.71454,                0.44415,                0.54011,                0.39176,                0.72009,                0.44743,                0.53405,                0.33333,                 1.2088,                  1.881,                 1.6417,                 1.3298,             0.00013508,             0.00013508,             0.00013508
                     89,                0.43538,                 0.6161,                0.37836,                0.92381,                0.70265,                0.44456,                 0.5557,                0.38985,                0.67322,                 0.4614,                0.54179,                0.33548,                 1.2133,                 1.9295,                 1.6127,                 1.3367,             0.00012608,             0.00012608,             0.00012608
                     90,                0.43315,                 0.6101,                0.37527,                0.91747,                0.60294,                 0.4895,                 0.5485,                0.38669,                0.60805,                0.49469,                0.53752,                0.32976,                 1.2146,                 1.9364,                 1.6554,                 1.3385,             0.00011708,             0.00011708,             0.00011708
                     91,                0.41306,                0.54949,                 0.3968,                0.91739,                0.78809,                0.41517,                0.53373,                0.38346,                0.76925,                0.41935,                0.51117,                0.31471,                 1.2147,                  2.036,                 1.8308,                 1.3463,             0.00010808,             0.00010808,             0.00010808
                     92,                0.39851,                0.54349,                0.36645,                0.91474,                0.71384,                0.44581,                0.53376,                0.38872,                0.72745,                0.43981,                0.51456,                0.32162,                 1.2013,                 2.0688,                  1.889,                 1.3334,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.38014,                0.52841,                0.34555,                0.90254,                0.60265,                0.47296,                0.52331,                0.38257,                0.62149,                0.47872,                0.51211,                 0.3255,                 1.2114,                 2.0108,                 1.8309,                 1.3495,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.37777,                0.51974,                0.33769,                0.89367,                0.64269,                0.46135,                0.52368,                0.38972,                0.64823,                0.46305,                0.50533,                 0.3278,                 1.1906,                 2.0148,                 1.7462,                 1.3445,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.36576,                0.51084,                0.32908,                0.88945,                0.61952,                0.47665,                0.52771,                0.39006,                0.64644,                0.47293,                0.51497,                0.32918,                 1.1973,                 2.0723,                 1.7326,                  1.348,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                  0.376,                0.51003,                0.33583,                0.90672,                0.62406,                0.48053,                 0.5409,                0.39634,                0.62435,                0.49166,                0.52981,                0.33291,                 1.1866,                 2.0693,                 1.7268,                 1.3472,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                0.36078,                0.48906,                0.32048,                0.89418,                0.56087,                0.52877,                0.53868,                 0.3961,                0.57382,                  0.507,                0.51814,                0.32665,                  1.193,                 2.0766,                 1.7239,                 1.3517,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                0.34621,                0.48668,                0.31417,                0.88338,                0.60861,                0.49198,                0.54326,                0.39705,                 0.6071,                0.49763,                0.52651,                0.33527,                 1.2073,                 2.0551,                 1.7725,                 1.3584,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.35491,                0.47916,                0.31347,                0.88333,                0.52864,                0.51654,                0.54006,                0.40007,                 0.5403,                0.51285,                0.52386,                0.33719,                 1.1949,                 2.0361,                 1.7875,                 1.3521,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.34432,                0.47939,                0.31249,                0.88177,                0.55815,                0.55585,                0.54891,                 0.4056,                0.56206,                0.54512,                0.53496,                0.34337,                 1.1901,                 2.0675,                  1.772,                 1.3571,             2.7088e-05,             2.7088e-05,             2.7088e-05
